title,year,quarter,date,cik,url,finalUrl,httpStatus,contentType,extractionType,wordCount,status,error,textPath,rawPath
Greenlight Capital,2025,Q4,February 3,,https://drive.google.com/file/d/1moRuJauiwIF9PILWh50vs0Rz9XP0QP9R/view,https://drive.usercontent.google.com/download?id=1moRuJauiwIF9PILWh50vs0Rz9XP0QP9R&export=download,200,application/octet-stream,pdf,4668,ok,,output/playwright/fund-letters/latest-quarter-content/text/014-greenlight-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/014-greenlight-capital.pdf
Greystone Capital,2025,Q4,January 25,,https://88ed4599-26c4-4b58-95a2-873503998297.filesusr.com/ugd/47fd79_3f1d4b7645974584998866e0a513b174.pdf,https://88ed4599-26c4-4b58-95a2-873503998297.filesusr.com/ugd/47fd79_3f1d4b7645974584998866e0a513b174.pdf,200,application/pdf,pdf,6230,ok,,output/playwright/fund-letters/latest-quarter-content/text/015-greystone-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/015-greystone-capital.pdf
Hirscshmann,2025,Q4,February 4,,https://www.hcapital.llc/_files/ugd/dc7287_26dc295e121042f7b32a5f9d5b352efb.pdf?index=true,https://www.hcapital.llc/_files/ugd/dc7287_26dc295e121042f7b32a5f9d5b352efb.pdf?index=true,200,application/pdf,pdf,2149,ok,,output/playwright/fund-letters/latest-quarter-content/text/016-hirscshmann.txt,output/playwright/fund-letters/latest-quarter-content/raw/016-hirscshmann.pdf
Horizon Kinetics,2025,Q4,January 23,,https://horizonkinetics.com/app/uploads/Founders-Letter-2026_Final.pdf,https://horizonkinetics.com/app/uploads/Founders-Letter-2026_Final.pdf,200,application/pdf,pdf,5324,ok,,output/playwright/fund-letters/latest-quarter-content/text/017-horizon-kinetics.txt,output/playwright/fund-letters/latest-quarter-content/raw/017-horizon-kinetics.pdf
Immersion Investments,2025,Q4,February 4,,https://files.constantcontact.com/920f57ab801/5e8bfbe5-975b-4e98-8a1d-9b5d3ab7cbba.pdf,https://files.constantcontact.com/920f57ab801/5e8bfbe5-975b-4e98-8a1d-9b5d3ab7cbba.pdf,200,application/pdf,pdf,5117,ok,,output/playwright/fund-letters/latest-quarter-content/text/018-immersion-investments.txt,output/playwright/fund-letters/latest-quarter-content/raw/018-immersion-investments.pdf
JDP Capital,2025,Q4,February 16,,https://jdpcap.com/wp-content/uploads/2026/02/2025-Annual-Partnership-Letter_final.pdf,https://jdpcap.com/wp-content/uploads/2026/02/2025-Annual-Partnership-Letter_final.pdf,200,application/pdf,pdf,4309,ok,,output/playwright/fund-letters/latest-quarter-content/text/019-jdp-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/019-jdp-capital.pdf
Kathmandu Capital,2025,Q4,January 25,,https://static1.squarespace.com/static/63465dbda3a3280f2afb25eb/t/6964e898c6b5ef71c0606687/1768220824470/KC+4Q25+Letter+to+Investors+Final.pdf,https://static1.squarespace.com/static/63465dbda3a3280f2afb25eb/t/6964e898c6b5ef71c0606687/1768220824470/KC+4Q25+Letter+to+Investors+Final.pdf,200,application/pdf,pdf,1820,ok,,output/playwright/fund-letters/latest-quarter-content/text/020-kathmandu-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/020-kathmandu-capital.pdf
Kerrisdale Capital – Long Thesis on TD,2025,Q4,January 8,,https://www.oaktreecapital.com/docs/default-source/memos/is-it-a-bubble.pdf?sfvrsn=d4a92866_3,https://www.oaktreecapital.com/docs/default-source/memos/is-it-a-bubble.pdf?sfvrsn=d4a92866_3,200,application/pdf,pdf,9823,ok,,output/playwright/fund-letters/latest-quarter-content/text/021-kerrisdale-capital-long-thesis-on-td.txt,output/playwright/fund-letters/latest-quarter-content/raw/021-kerrisdale-capital-long-thesis-on-td.pdf
Kerrisdale Capital – Short Thesis on Affirm,2025,Q4,January 24,,https://www.kerrisdalecap.com/wp-content/uploads/2026/01/Affirm-Kerrisdale.pdf,https://www.kerrisdalecap.com/wp-content/uploads/2026/01/Affirm-Kerrisdale.pdf,200,application/pdf,pdf,11936,ok,,output/playwright/fund-letters/latest-quarter-content/text/022-kerrisdale-capital-short-thesis-on-affirm.txt,output/playwright/fund-letters/latest-quarter-content/raw/022-kerrisdale-capital-short-thesis-on-affirm.pdf
Legacy Ridge,2025,Q4,February 4,,https://www.legacyridgecapital.com/wp-content/uploads/2026/02/LRCM-2025-Letter.pdf,https://www.legacyridgecapital.com/wp-content/uploads/2026/02/LRCM-2025-Letter.pdf,200,application/pdf,pdf,4248,ok,,output/playwright/fund-letters/latest-quarter-content/text/023-legacy-ridge.txt,output/playwright/fund-letters/latest-quarter-content/raw/023-legacy-ridge.pdf
Lyrical Asset Management,2025,Q4,February 4,,https://blog.lyricalam.com/hubfs/AAA_Marketing_Material/Letters/2025%20Review%20Letter/LAM-2025-US-Review-Letter.pdf,https://blog.lyricalam.com/hubfs/AAA_Marketing_Material/Letters/2025%20Review%20Letter/LAM-2025-US-Review-Letter.pdf,200,application/pdf,pdf,3102,ok,,output/playwright/fund-letters/latest-quarter-content/text/024-lyrical-asset-management.txt,output/playwright/fund-letters/latest-quarter-content/raw/024-lyrical-asset-management.pdf
MSA Capital,2025,Q4,February 3,,https://www.msa-capital.de/_files/ugd/6fc4ac_76ac377c50a24265b1fc21d7544744a7.pdf,https://www.msa-capital.de/_files/ugd/6fc4ac_76ac377c50a24265b1fc21d7544744a7.pdf,200,application/pdf,pdf,4043,ok,,output/playwright/fund-letters/latest-quarter-content/text/025-msa-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/025-msa-capital.pdf
Pantera – Navigating Crypto in 2026,2025,Q4,February 4,,https://panteracapital.com/blockchain-letter/navigating-crypto-in-2026/,https://panteracapital.com/blockchain-letter/navigating-crypto-in-2026/,200,text/html; charset=UTF-8,html,4078,ok,,output/playwright/fund-letters/latest-quarter-content/text/026-pantera-navigating-crypto-in-2026.txt,output/playwright/fund-letters/latest-quarter-content/raw/026-pantera-navigating-crypto-in-2026.html
Pernas Research,2025,Q4,January 25,,https://pernasresearch.com/quarterly/2025-q4-investment-letter/,https://pernasresearch.com/quarterly/2025-q4-investment-letter/,200,text/html; charset=UTF-8,html,2100,ok,,output/playwright/fund-letters/latest-quarter-content/text/027-pernas-research.txt,output/playwright/fund-letters/latest-quarter-content/raw/027-pernas-research.html
Pershing Square,2025,Q4,February 16,,https://assets.pershingsquareholdings.com/wp-content/uploads/2026/02/11144917/2026-Annual-Investor-Presentation.pdf,https://assets.pershingsquareholdings.com/wp-content/uploads/2026/02/11144917/2026-Annual-Investor-Presentation.pdf,200,application/pdf,pdf,17375,ok,,output/playwright/fund-letters/latest-quarter-content/text/028-pershing-square.txt,output/playwright/fund-letters/latest-quarter-content/raw/028-pershing-square.pdf
Plural Investing,2025,Q4,January 25,,https://mcusercontent.com/0621b1ecf16131aced159c001/files/15f68f80-aabc-bf71-d2a3-f4f1519740a4/Plural_Partners_Fund_Letter_2025_Q4.pdf?mc_cid=4d81765bd3,https://mcusercontent.com/0621b1ecf16131aced159c001/files/15f68f80-aabc-bf71-d2a3-f4f1519740a4/Plural_Partners_Fund_Letter_2025_Q4.pdf?mc_cid=4d81765bd3,200,application/pdf,pdf,3047,ok,,output/playwright/fund-letters/latest-quarter-content/text/029-plural-investing.txt,output/playwright/fund-letters/latest-quarter-content/raw/029-plural-investing.pdf
Robotti,2025,Q4,February 16,,https://advisors.robotti.com/wp-content/uploads/Robotti-Company-Advisors-YE-2025-Letter-w-disc.pdf,https://advisors.robotti.com/wp-content/uploads/Robotti-Company-Advisors-YE-2025-Letter-w-disc.pdf,200,application/pdf,pdf,3229,ok,,output/playwright/fund-letters/latest-quarter-content/text/030-robotti.txt,output/playwright/fund-letters/latest-quarter-content/raw/030-robotti.pdf
Rowan Street,2025,Q4,February 16,,https://alexkopel.substack.com/p/rowan-street-2025-year-end-letter,https://alexkopel.substack.com/p/rowan-street-2025-year-end-letter,200,text/html; charset=utf-8,html,3059,ok,,output/playwright/fund-letters/latest-quarter-content/text/031-rowan-street.txt,output/playwright/fund-letters/latest-quarter-content/raw/031-rowan-street.html
Rubicon Fund,2025,Q4,February 3,,https://valueandopportunity.com/wp-content/uploads/2026/02/letter_h2_2025-1.pdf,https://valueandopportunity.com/wp-content/uploads/2026/02/letter_h2_2025-1.pdf,200,application/pdf,pdf,2513,ok,,output/playwright/fund-letters/latest-quarter-content/text/032-rubicon-fund.txt,output/playwright/fund-letters/latest-quarter-content/raw/032-rubicon-fund.pdf
Sequoia,2025,Q4,February 16,,https://www.ruanecunniff.com/wp-content/uploads/2026/02/Sequoia-Strategy-Year-End-2025-Letter.pdf,https://www.ruanecunniff.com/wp-content/uploads/2026/02/Sequoia-Strategy-Year-End-2025-Letter.pdf,200,application/pdf,pdf,13003,ok,,output/playwright/fund-letters/latest-quarter-content/text/033-sequoia.txt,output/playwright/fund-letters/latest-quarter-content/raw/033-sequoia.pdf
Silver Ring Partners,2025,Q4,February 15,,https://mcusercontent.com/57cdfc490b101d54b70128c06/files/1329d8fb-1b34-a72a-8205-789c62e5eed3/SilverRingValuePartners_2025Q4_Letter.pdf,https://mcusercontent.com/57cdfc490b101d54b70128c06/files/1329d8fb-1b34-a72a-8205-789c62e5eed3/SilverRingValuePartners_2025Q4_Letter.pdf,200,application/pdf,pdf,4247,ok,,output/playwright/fund-letters/latest-quarter-content/text/034-silver-ring-partners.txt,output/playwright/fund-letters/latest-quarter-content/raw/034-silver-ring-partners.pdf
Sohra Peak,2025,Q4,February 4,,https://mcusercontent.com/3fff1ea9d792aab7f6dffe0ab/files/52cbe8aa-eb9e-9a36-2582-67ae3069f2fa/Sohra_Peak_Capital_Partners_Partnership_Letter_Q4_2025.pdf,https://mcusercontent.com/3fff1ea9d792aab7f6dffe0ab/files/52cbe8aa-eb9e-9a36-2582-67ae3069f2fa/Sohra_Peak_Capital_Partners_Partnership_Letter_Q4_2025.pdf,200,application/pdf,pdf,2002,ok,,output/playwright/fund-letters/latest-quarter-content/text/035-sohra-peak.txt,output/playwright/fund-letters/latest-quarter-content/raw/035-sohra-peak.pdf
Spruce Point – SGHC,2025,Q4,February 16,,https://cdn.prod.website-files.com/64dd091f91b3ca8e6309dc0d/698dda43ab1475370340d002_sghc_research_thesis_2-12-2026.pdf,https://cdn.prod.website-files.com/64dd091f91b3ca8e6309dc0d/698dda43ab1475370340d002_sghc_research_thesis_2-12-2026.pdf,200,application/pdf,pdf,4820,ok,,output/playwright/fund-letters/latest-quarter-content/text/036-spruce-point-sghc.txt,output/playwright/fund-letters/latest-quarter-content/raw/036-spruce-point-sghc.pdf
Tectonic Investors,2025,Q4,January 23,,https://files.constantcontact.com/403e24bc901/eec7a07e-ad4e-44d5-b24c-95da84ba0bb1.pdf,https://files.constantcontact.com/403e24bc901/eec7a07e-ad4e-44d5-b24c-95da84ba0bb1.pdf,200,application/pdf,pdf,1418,ok,,output/playwright/fund-letters/latest-quarter-content/text/037-tectonic-investors.txt,output/playwright/fund-letters/latest-quarter-content/raw/037-tectonic-investors.pdf
Third Point Capital,2025,Q4,February 16,,https://assets-malibu-life.s3.us-west-2.amazonaws.com/system/uploads/fae/file/asset/1689/Third_Point_Q4_2025_Investor_Letter_TPIL.pdf,https://assets-malibu-life.s3.us-west-2.amazonaws.com/system/uploads/fae/file/asset/1689/Third_Point_Q4_2025_Investor_Letter_TPIL.pdf,200,application/pdf,pdf,4646,ok,,output/playwright/fund-letters/latest-quarter-content/text/038-third-point-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/038-third-point-capital.pdf
Tsai Capital,2025,Q4,January 25,,https://tsaicapital.com/files/Tsai-Capital-Annual-Investor-Letter-2025.pdf,https://tsaicapital.com/files/Tsai-Capital-Annual-Investor-Letter-2025.pdf,200,application/pdf,pdf,13284,ok,,output/playwright/fund-letters/latest-quarter-content/text/039-tsai-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/039-tsai-capital.pdf
Upslope Capital,2025,Q4,January 25,,https://static1.squarespace.com/static/58f7798829687f53ff30baf8/t/696659036e5e6547fca2ae9c/1768315139933/Upslope+-+2025Q4+Letter.pdf,https://static1.squarespace.com/static/58f7798829687f53ff30baf8/t/696659036e5e6547fca2ae9c/1768315139933/Upslope+-+2025Q4+Letter.pdf,200,application/pdf,pdf,4616,ok,,output/playwright/fund-letters/latest-quarter-content/text/040-upslope-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/040-upslope-capital.pdf
Vltava Fund,2025,Q4,January 24,,https://www.vltavafund.com/dopisy-akcionarum/latinos,https://www.vltavafund.com/dopisy-akcionarum/latinos,200,text/html,html,3538,ok,,output/playwright/fund-letters/latest-quarter-content/text/041-vltava-fund.txt,output/playwright/fund-letters/latest-quarter-content/raw/041-vltava-fund.html
Warden Capital,2025,Q4,February 3,,https://warcap.substack.com/p/warden-2025-year-end-letter,https://warcap.substack.com/p/warden-2025-year-end-letter,200,text/html; charset=utf-8,html,4531,ok,,output/playwright/fund-letters/latest-quarter-content/text/042-warden-capital.txt,output/playwright/fund-letters/latest-quarter-content/raw/042-warden-capital.html
Wedgewood Partners,2025,Q4,January 25,,https://wedgewoodpartners.com/wp-content/uploads/2026/01/WW_4Q2025ClientLetter.pdf,https://wedgewoodpartners.com/wp-content/uploads/2026/01/WW_4Q2025ClientLetter.pdf,200,application/pdf,pdf,6555,ok,,output/playwright/fund-letters/latest-quarter-content/text/043-wedgewood-partners.txt,output/playwright/fund-letters/latest-quarter-content/raw/043-wedgewood-partners.pdf
